node_id,region,cpu_cores,mem_gb,disk_gb,gpu_model,gpu_mem_gb,cost_per_hour,network_bandwidth_mbps,base_flops
node_train_0000,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.8,38790,180
node_train_0001,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.58,83852,82
node_train_0002,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.31,92809,312
node_train_0003,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.78,81633,82
node_train_0004,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.74,33580,312
node_train_0005,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.8,56359,180
node_train_0006,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.58,54887,180
node_train_0007,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.67,85277,82
node_train_0008,shanghai,32 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.97,89978,312
node_train_0009,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.13,11140,82
node_train_0010,shanghai,32 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.96,90376,180
node_train_0011,guangzhou,32 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.55,79640,312
node_train_0012,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.01,18741,82
node_train_0013,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,32.45,56183,312
node_train_0014,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.94,20603,82
node_train_0015,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.99,57183,82
node_train_0016,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.58,99382,82
node_train_0017,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.14,91459,312
node_train_0018,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.45,99166,82
node_train_0019,beijing,32 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.78,19497,180
node_train_0020,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.34,35396,82
node_train_0021,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.67,87063,82
node_train_0022,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.51,88246,180
node_train_0023,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.94,68140,82
node_train_0024,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.29,35248,180
node_train_0025,beijing,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.61,52839,82
node_train_0026,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.53,42073,82
node_train_0027,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.39,57230,82
node_train_0028,shanghai,32 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.24,48618,82
node_train_0029,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.06,72462,312
