node_id,region,cpu_cores,mem_gb,disk_gb,gpu_model,gpu_mem_gb,cost_per_hour,network_bandwidth_mbps
node_train_0000,beijing,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0001,beijing,64,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0002,guangzhou,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0003,beijing,64,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0004,guangzhou,256,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0005,guangzhou,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0006,beijing,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0007,beijing,256,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0008,beijing,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0009,shanghai,64,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0010,shanghai,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0011,beijing,128,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0012,guangzhou,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0013,guangzhou,64,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0014,shanghai,64,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0015,shanghai,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0016,shanghai,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0017,guangzhou,256,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0018,guangzhou,64,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0019,beijing,128,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0020,guangzhou,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0021,beijing,64,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0022,shanghai,64,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0023,shanghai,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
